feedback_id;client_id;house_id;rating;text
1;3;1;5;Прекрасное место для отдыха с семьей! Спокойная атмосфера, уютный камин, просторный двор для игр детей.
2;2;4;5;Шикарный вид на озеро! Современный дом с комфортом и удобствами, идеален для романтического отдыха.
3;12;7;4;Тишина и покой! Идеальное место для перезагрузки после городской суеты.
4;6;5;5;Дом мечты! Бассейн, сад, барбекю - все для летнего веселья. Отличное место для шумных компаний.
5;1;3;5;Зимняя сказка! Шале в горах с очаровательной атмосферой, уютным камином и видом на заснеженные вершины.
6;7;7;4;Тепло домашнего очага! Просторная гостиная с камином, где можно собраться с семьей и наслаждаться вечером.
7;1;2;5;Уединение и гармония! Коттедж на берегу реки - идеальное место для любителей рыбалки и природы.
8;10;12;3;Неудобная планировка! Кухня была тесной, а спальни маленькими. Не хватало места для хранения вещей.
9;13;20;5;Светло и просторно! Современный дом с минималистичным дизайном и панорамными окнами.
10;4;6;4;Вечерние посиделки! Дом с большой верандой, где можно проводить время с друзьями под открытым небом.
11;13;7;5;Светло и просторно! Современный дом с минималистичным дизайном и панорамными окнами.
12;9;5;3;Старая мебель! Мебель была в плохом состоянии, некоторые предметы даже сломаны.
13;5;8;3;Шумные соседи! Отдыхать было невозможно из-за постоянного шума от соседей.
14;16;15;4;Романтический прованский шарм! Дом с уютными балконами и видом на лавандовые поля.
15;8;5;5;Лесная сказка! Домик в лесу с очаровательной лужайкой и видом на зеленые просторы.
16;20;2;1;Плохой интернет! Интернет работал очень медленно, что затрудняло работу и отдых.
17;18;7;4;Расслабление и оздоровление! Дом с сауной, где можно расслабиться после активного отдыха.
18;4;5;5;Деревенский стиль! Дом с соломенной крышей, создающий атмосферу уюта и тепла.
19;14;17;4;Натуральные материалы! Дом с отделкой из натурального камня, создающий атмосферу уюта и гармонии.
20;17;18;5;Красивые виды! Домик с балконом, с которого открывается вид на живописные окрестности.
